,Gender,Province,Age,1a,6a,11a,16a,21a,LG1,26a,31a,36a,41a,46a,LG2,51a,56a,61a,66a,LG3,LGN,1b,2b,3b,4b,5b,LG4,76b,77b,78b,79b,80b,LG5,151b,152b,153b,154b,LG6,LGP,LG,2a,7a,12a,17a,22a,ST1,27a,32a,37a,42a,47a,ST2,52a,57a,62a,72a,ST3,STI,6b,7b,8b,9b,10b,ST4,81b,82b,83b,84b,85b,ST5,156b,157b,158b,160b,ST6,STV,ST,3a,8a,13a,18a,23a,DG1,28a,33a,38a,43a,48a,DG2,53a,58a,68a,73a,DG3,DGK,11b,12b,13b,14b,15b,DG4,86b,87b,88b,89b,90b,DG5,161b,162b,164b,165b,DG6,DGP,DG,4a,9a,14a,19a,24a,NT1,29a,34a,39a,44a,49a,NT2,54a,64a,69a,74a,NT3,NTL,16b,17b,18b,19b,20b,NT4,91b,92b,93b,94b,95b,NT5,166b,168b,169b,170b,NT6,NTF,NT,5a,10a,15a,20a,25a,IT1,30a,35a,40a,45a,50a,IT2,60a,65a,70a,75a,IT3,ITM,21b,22b,23b,24b,25b,IT4,96b,97b,98b,99b,100b,IT5,172b,173b,174b,175b,IT6,ITA,IT,76a,81a,86a,91a,96a,LI1,101a,106a,111a,116a,LI2,126a,131a,136a,141a,146a,LI3,LIL,26b,27b,28b,29b,30b,LI4,101b,102b,103b,104b,LI5,176b,177b,178b,179b,180b,LI6,LIV,LI,77a,82a,87a,92a,97a,PP1,102a,107a,112a,122a,PP2,127a,132a,137a,142a,147a,PP3,PPC,31b,32b,33b,34b,35b,PP4,106b,107b,108b,110b,PP5,181b,182b,183b,184b,185b,PP6,PPT,PP,78a,83a,88a,93a,98a,BD1,103a,108a,118a,123a,BD2,128a,133a,138a,143a,148a,BD3,BDK,36b,37b,38b,39b,40b,BD4,111b,112b,114b,115b,BD5,186b,187b,188b,189b,190b,BD6,BDP,BD,79a,84a,89a,94a,99a,TC1,104a,114a,119a,124a,TC2,129a,134a,139a,144a,149a,TC3,TCP,41b,42b,43b,44b,45b,TC4,116b,118b,119b,120b,TC5,191b,192b,193b,194b,195b,TC6,TCH,TC,80a,85a,90a,95a,100a,MS1,110a,115a,120a,125a,MS2,130a,135a,140a,145a,150a,MS3,MSP,46b,47b,48b,49b,50b,MS4,122b,123b,124b,125b,MS5,196b,197b,198b,199b,200b,MS6,MSA,MS,151a,156a,161a,166a,IP1,176a,181a,186a,191a,196a,IP2,201a,206a,211a,216a,221a,IP3,IPA,51b,52b,53b,54b,IP4,126b,127b,128b,129b,130b,IP5,201b,202b,203b,204b,205b,IP6,IPE,IP,152a,157a,162a,172a,PC1,177a,182a,187a,192a,197a,PC2,202a,207a,212a,217a,222a,PC3,PCV,56b,57b,58b,60b,PC4,131b,132b,133b,134b,135b,PC5,206b,207b,208b,209b,210b,PC6,PCU,PC,153a,158a,168a,173a,LD1,178a,183a,188a,193a,198a,LD2,203a,208a,213a,218a,223a,LD3,LDP,61b,62b,64b,65b,LD4,136b,137b,138b,139b,140b,LD5,211b,212b,213b,214b,215b,LD6,LDM,LD,154a,164a,169a,174a,ET1,179a,184a,189a,194a,199a,ET2,204a,209a,214a,219a,224a,ET3,ETM,66b,68b,69b,70b,ET4,141b,142b,143b,144b,145b,ET5,216b,217b,218b,219b,220b,ET6,ETA,ET,160a,165a,170a,175a,AS1,180a,185a,190a,195a,200a,AS2,205a,210a,215a,220a,225a,AS3,ASD,72b,73b,74b,75b,AS4,146b,147b,148b,149b,150b,AS5,221b,222b,223b,224b,225b,AS6,ASL,AS,P4AI
R336,1,20,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,6,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,4,1,0,1,1,1,4,0,1,0,0,1,9,13,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,1,3,5,1,1,1,1,1,5,1,0,0,1,0,2,0,1,0,0,1,8,13,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,5,9,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,6,1,0,0,1,1,3,0,0,0,1,1,1,1,1,1,0,4,8,1,1,1,1,1,5,1,0,1,1,3,1,1,1,1,1,5,13,21,1,1,1,1,0,4,1,1,1,1,4,0,1,1,0,0,2,8,0,1,1,1,1,4,1,0,1,0,2,0,1,0,1,1,3,9,17,0,0,1,1,1,3,0,0,1,0,1,1,0,1,1,0,3,7,1,1,1,1,1,5,1,0,1,1,3,0,0,0,0,0,0,8,15,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,3,1,1,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,8,1,0,1,0,1,3,1,0,1,0,2,0,1,1,1,1,4,9,1,1,1,1,1,5,0,1,1,1,3,1,0,0,0,0,1,9,18,1,1,1,1,4,0,1,1,1,0,3,1,1,1,1,1,5,12,1,1,1,1,4,0,1,0,0,1,2,0,1,0,1,0,2,8,20,1,0,0,1,2,0,0,1,1,1,3,0,1,0,1,0,2,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,9,1,1,1,1,4,0,1,1,1,1,4,1,1,0,1,0,3,11,0,1,0,1,2,0,0,0,1,0,1,0,1,1,0,1,3,6,17,1,1,0,1,3,0,0,1,1,1,3,0,1,1,0,1,3,9,1,0,1,1,3,0,1,0,1,0,2,0,0,0,1,1,2,7,16,1,1,1,1,4,0,0,1,1,1,3,1,1,0,0,0,2,9,0,0,1,1,2,1,1,1,1,0,4,0,1,1,0,1,3,9,18,206
R337,1,20,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,6,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,4,1,0,1,1,1,4,0,1,0,0,1,9,13,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,1,3,5,1,1,1,1,1,5,1,0,0,1,0,2,0,1,0,0,1,8,13,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,5,9,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,6,1,0,0,1,1,3,0,0,0,1,1,1,1,1,1,0,4,8,1,1,1,1,1,5,1,0,1,1,3,1,1,1,1,1,5,13,21,1,1,1,1,0,4,1,1,1,1,4,0,1,1,0,0,2,8,0,1,1,1,1,4,1,0,1,0,2,0,1,0,1,1,3,9,17,0,0,1,1,1,3,0,0,1,0,1,1,0,1,1,0,3,7,1,1,1,1,1,5,1,0,1,1,3,0,0,0,0,0,0,8,15,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,3,1,1,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,8,1,0,1,0,1,3,1,0,1,0,2,0,1,1,1,1,4,9,1,1,1,1,1,5,0,1,1,1,3,1,0,0,0,0,1,9,18,1,1,1,1,4,0,1,1,1,0,3,1,1,1,1,1,5,12,1,1,1,1,4,0,1,0,0,1,2,0,1,0,1,0,2,8,20,1,0,0,1,2,0,0,1,1,1,3,0,1,0,1,0,2,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,9,1,1,1,1,4,0,1,1,1,1,4,1,1,0,1,0,3,11,0,1,0,1,2,0,0,0,1,0,1,0,1,1,0,1,3,6,17,1,1,0,1,3,0,0,1,1,1,3,0,1,1,0,1,3,9,1,0,1,1,3,0,1,0,1,0,2,0,0,0,1,1,2,7,16,1,1,1,1,4,0,0,1,1,1,3,1,1,0,0,0,2,9,0,0,1,1,2,1,1,1,1,0,4,0,1,1,0,1,3,9,18,206
R338,1,20,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,6,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,4,1,0,1,1,1,4,0,1,0,0,1,9,13,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,1,3,5,1,1,1,1,1,5,1,0,0,1,0,2,0,1,0,0,1,8,13,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,5,9,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,6,1,0,0,1,1,3,0,0,0,1,1,1,1,1,1,0,4,8,1,1,1,1,1,5,1,0,1,1,3,1,1,1,1,1,5,13,21,1,1,1,1,0,4,1,1,1,1,4,0,1,1,0,0,2,8,0,1,1,1,1,4,1,0,1,0,2,0,1,0,1,1,3,9,17,0,0,1,1,1,3,0,0,1,0,1,1,0,1,1,0,3,7,1,1,1,1,1,5,1,0,1,1,3,0,0,0,0,0,0,8,15,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,3,1,1,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,8,1,0,1,0,1,3,1,0,1,0,2,0,1,1,1,1,4,9,1,1,1,1,1,5,0,1,1,1,3,1,0,0,0,0,1,9,18,1,1,1,1,4,0,1,1,1,0,3,1,1,1,1,1,5,12,1,1,1,1,4,0,1,0,0,1,2,0,1,0,1,0,2,8,20,1,0,0,1,2,0,0,1,1,1,3,0,1,0,1,0,2,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,9,1,1,1,1,4,0,1,1,1,1,4,1,1,0,1,0,3,11,0,1,0,1,2,0,0,0,1,0,1,0,1,1,0,1,3,6,17,1,1,0,1,3,0,0,1,1,1,3,0,1,1,0,1,3,9,1,0,1,1,3,0,1,0,1,0,2,0,0,0,1,1,2,7,16,1,1,1,1,4,0,0,1,1,1,3,1,1,0,0,0,2,9,0,0,1,1,2,1,1,1,1,0,4,0,1,1,0,1,3,9,18,206
R339,1,20,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,6,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,4,1,0,1,1,1,4,0,1,0,0,1,9,13,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,1,3,5,1,1,1,1,1,5,1,0,0,1,0,2,0,1,0,0,1,8,13,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,5,9,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,6,1,0,0,1,1,3,0,0,0,1,1,1,1,1,1,0,4,8,1,1,1,1,1,5,1,0,1,1,3,1,1,1,1,1,5,13,21,1,1,1,1,0,4,1,1,1,1,4,0,1,1,0,0,2,8,0,1,1,1,1,4,1,0,1,0,2,0,1,0,1,1,3,9,17,0,0,1,1,1,3,0,0,1,0,1,1,0,1,1,0,3,7,1,1,1,1,1,5,1,0,1,1,3,0,0,0,0,0,0,8,15,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,3,1,1,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,8,1,0,1,0,1,3,1,0,1,0,2,0,1,1,1,1,4,9,1,1,1,1,1,5,0,1,1,1,3,1,0,0,0,0,1,9,18,1,1,1,1,4,0,1,1,1,0,3,1,1,1,1,1,5,12,1,1,1,1,4,0,1,0,0,1,2,0,1,0,1,0,2,8,20,1,0,0,1,2,0,0,1,1,1,3,0,1,0,1,0,2,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,9,1,1,1,1,4,0,1,1,1,1,4,1,1,0,1,0,3,11,0,1,0,1,2,0,0,0,1,0,1,0,1,1,0,1,3,6,17,1,1,0,1,3,0,0,1,1,1,3,0,1,1,0,1,3,9,1,0,1,1,3,0,1,0,1,0,2,0,0,0,1,1,2,7,16,1,1,1,1,4,0,0,1,1,1,3,1,1,0,0,0,2,9,0,0,1,1,2,1,1,1,1,0,4,0,1,1,0,1,3,9,18,206
R340,1,20,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,6,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,4,1,0,1,1,1,4,0,1,0,0,1,9,13,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,1,3,5,1,1,1,1,1,5,1,0,0,1,0,2,0,1,0,0,1,8,13,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,5,9,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,6,1,0,0,1,1,3,0,0,0,1,1,1,1,1,1,0,4,8,1,1,1,1,1,5,1,0,1,1,3,1,1,1,1,1,5,13,21,1,1,1,1,0,4,1,1,1,1,4,0,1,1,0,0,2,8,0,1,1,1,1,4,1,0,1,0,2,0,1,0,1,1,3,9,17,0,0,1,1,1,3,0,0,1,0,1,1,0,1,1,0,3,7,1,1,1,1,1,5,1,0,1,1,3,0,0,0,0,0,0,8,15,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,3,1,1,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,8,1,0,1,0,1,3,1,0,1,0,2,0,1,1,1,1,4,9,1,1,1,1,1,5,0,1,1,1,3,1,0,0,0,0,1,9,18,1,1,1,1,4,0,1,1,1,0,3,1,1,1,1,1,5,12,1,1,1,1,4,0,1,0,0,1,2,0,1,0,1,0,2,8,20,1,0,0,1,2,0,0,1,1,1,3,0,1,0,1,0,2,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,9,1,1,1,1,4,0,1,1,1,1,4,1,1,0,1,0,3,11,0,1,0,1,2,0,0,0,1,0,1,0,1,1,0,1,3,6,17,1,1,0,1,3,0,0,1,1,1,3,0,1,1,0,1,3,9,1,0,1,1,3,0,1,0,1,0,2,0,0,0,1,1,2,7,16,1,1,1,1,4,0,0,1,1,1,3,1,1,0,0,0,2,9,0,0,1,1,2,1,1,1,1,0,4,0,1,1,0,1,3,9,18,206
R341,1,19,15,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,3,7,1,0,0,0,1,2,0,0,0,1,0,1,0,1,1,1,3,6,1,1,1,1,1,5,0,1,0,1,0,2,0,1,0,1,2,9,15,1,0,1,1,1,4,1,1,1,0,0,3,1,1,1,1,4,8,1,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,4,12,1,0,1,1,1,4,0,1,0,0,0,1,0,1,0,1,2,7,1,1,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,4,11,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,4,1,1,1,1,0,4,0,0,1,1,2,1,1,1,1,1,5,11,1,1,0,1,1,4,1,1,0,1,3,0,0,0,0,1,1,8,19,0,0,1,1,1,3,0,1,1,0,2,0,0,1,1,1,3,5,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,3,5,10,0,1,1,1,1,4,1,1,1,0,3,0,0,1,0,0,1,8,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,1,1,1,3,0,1,0,0,1,1,0,0,0,0,1,5,1,0,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,10,1,1,0,0,1,3,1,1,1,0,3,0,1,1,1,0,3,9,1,1,1,1,1,5,1,1,1,1,4,1,0,0,0,0,1,10,19,1,1,1,1,4,1,1,1,1,0,4,0,0,0,1,1,2,10,1,1,0,1,3,0,1,1,0,1,3,1,0,0,1,0,2,8,18,1,0,1,1,3,1,0,1,1,1,4,1,1,1,0,1,4,11,1,0,0,1,2,0,1,1,1,0,3,1,0,0,1,0,2,7,18,1,1,1,1,4,1,0,1,1,1,4,1,1,1,1,1,5,13,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,3,16,1,1,1,1,4,1,0,1,1,1,4,0,0,1,0,1,2,10,1,0,1,1,3,0,0,1,1,0,2,0,1,0,1,1,3,8,18,0,1,0,1,2,0,1,1,1,1,4,1,1,1,0,1,4,10,0,0,0,1,1,0,0,1,1,1,3,0,0,0,0,0,0,4,14,203
R342,1,19,15,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,3,7,1,0,0,0,1,2,0,0,0,1,0,1,0,1,1,1,3,6,1,1,1,1,1,5,0,1,0,1,0,2,0,1,0,1,2,9,15,1,0,1,1,1,4,1,1,1,0,0,3,1,1,1,1,4,8,1,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,4,12,1,0,1,1,1,4,0,1,0,0,0,1,0,1,0,1,2,7,1,1,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,4,11,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,4,1,1,1,1,0,4,0,0,1,1,2,1,1,1,1,1,5,11,1,1,0,1,1,4,1,1,0,1,3,0,0,0,0,1,1,8,19,0,0,1,1,1,3,0,1,1,0,2,0,0,1,1,1,3,5,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,3,5,10,0,1,1,1,1,4,1,1,1,0,3,0,0,1,0,0,1,8,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,1,1,1,3,0,1,0,0,1,1,0,0,0,0,1,5,1,0,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,5,10,1,1,0,0,1,3,1,1,1,0,3,0,1,1,1,0,3,9,1,1,1,1,1,5,1,1,1,1,4,1,0,0,0,0,1,10,19,1,1,1,1,4,1,1,1,1,0,4,0,0,0,1,1,2,10,1,1,0,1,3,0,1,1,0,1,3,1,0,0,1,0,2,8,18,1,0,1,1,3,1,0,1,1,1,4,1,1,1,0,1,4,11,1,0,0,1,2,0,1,1,1,0,3,1,0,0,1,0,2,7,18,1,1,1,1,4,1,0,1,1,1,4,1,1,1,1,1,5,13,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,3,16,1,1,1,1,4,1,0,1,1,1,4,0,0,1,0,1,2,10,1,0,1,1,3,0,0,1,1,0,2,0,1,0,1,1,3,8,18,0,1,0,1,2,0,1,1,1,1,4,1,1,1,0,1,4,10,0,0,0,1,1,0,0,1,1,1,3,0,0,0,0,0,0,4,14,203
R343,2,20,15,0,0,0,1,0,1,1,0,1,1,1,4,1,0,1,0,2,7,1,0,0,0,0,1,1,1,1,1,1,5,1,0,0,0,1,6,13,1,1,1,0,0,3,1,0,1,1,1,4,0,1,0,1,2,9,1,0,0,1,1,3,1,0,1,1,1,4,0,1,1,1,3,10,19,1,1,0,0,1,3,1,0,1,1,1,4,0,1,0,1,2,8,1,0,1,1,0,3,1,0,0,1,1,3,0,0,0,0,0,6,14,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,1,4,0,1,1,0,0,2,0,0,0,1,1,2,0,0,0,0,0,5,9,1,0,1,1,1,4,0,1,1,1,1,4,1,0,0,1,2,10,1,1,0,1,0,3,0,0,1,1,1,3,1,0,0,0,1,7,17,0,0,0,1,1,2,0,0,0,1,1,1,1,0,1,1,4,7,0,0,0,1,1,2,1,1,1,1,4,0,0,0,1,1,2,8,15,0,1,1,1,1,4,0,1,1,0,2,1,1,1,0,1,4,6,1,1,1,1,0,4,1,0,1,1,3,0,0,0,1,1,2,9,15,0,0,1,1,0,2,0,0,1,1,2,0,0,1,0,0,1,5,0,0,0,1,0,1,1,0,1,1,3,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,1,4,5,0,1,1,1,3,1,1,1,1,0,4,1,1,1,1,1,5,12,0,1,1,1,3,0,0,1,1,1,3,0,1,0,1,1,3,9,21,1,0,1,0,2,1,1,1,1,1,5,0,1,0,0,1,2,9,1,0,0,0,1,0,0,1,1,1,3,0,0,0,0,1,1,5,14,1,0,1,1,3,1,1,1,1,1,5,1,1,1,0,1,4,12,0,1,1,1,3,1,0,0,1,1,3,0,1,0,0,0,1,7,19,1,1,1,1,4,0,0,1,1,1,3,0,1,1,1,1,4,11,1,1,1,1,4,0,1,1,1,1,4,0,1,1,0,1,3,11,22,0,1,1,1,3,0,0,1,1,1,3,0,0,1,0,1,2,8,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,3,11,205
R344,1,17,17,1,1,0,0,1,3,1,1,0,1,0,3,0,1,1,0,2,8,0,1,1,0,0,2,0,0,1,1,1,3,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,4,6,0,1,0,1,0,2,0,0,0,1,0,1,0,1,0,0,1,3,1,1,1,1,1,5,0,0,0,1,1,2,0,0,0,0,0,7,10,1,1,0,1,1,4,0,0,0,0,1,1,0,0,0,1,1,6,1,1,0,0,1,3,0,0,1,0,1,2,0,0,0,1,1,6,12,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,0,1,1,0,1,3,0,1,1,0,1,3,1,0,0,0,1,7,10,1,1,1,1,1,5,0,0,1,1,2,1,1,1,0,1,4,11,0,1,1,1,1,4,1,1,1,1,4,0,1,0,0,1,2,10,21,1,1,1,1,0,4,0,1,1,1,3,0,1,1,1,1,4,7,0,1,1,1,1,4,1,0,1,1,3,0,1,0,1,0,2,9,16,0,1,1,0,0,2,0,0,1,1,2,1,1,1,1,0,4,8,1,1,1,1,1,5,0,0,1,1,2,0,1,0,0,1,2,9,17,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,4,7,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,4,6,1,1,1,0,1,4,0,0,1,1,2,1,0,0,0,1,2,8,14,1,1,1,1,4,1,1,1,1,0,4,1,1,1,1,1,5,13,1,1,1,1,4,0,1,0,0,1,2,0,1,1,1,0,3,9,22,1,0,1,0,2,0,0,0,1,1,2,0,1,0,1,0,2,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7,1,1,1,1,4,1,1,1,1,1,5,0,1,0,0,1,2,11,0,1,1,0,2,0,0,0,1,0,1,0,1,1,1,0,3,6,17,1,1,1,1,4,1,0,1,1,1,4,0,1,0,0,1,2,10,1,1,1,1,4,1,0,0,1,0,2,0,0,1,1,1,3,9,19,1,1,0,1,3,0,1,0,1,0,2,1,1,1,0,1,4,9,0,1,0,1,2,0,0,1,1,0,2,0,1,0,0,0,1,5,14,205
R345,1,17,17,1,0,0,1,1,3,0,1,0,0,1,2,0,1,1,0,2,7,0,1,1,0,0,2,0,1,0,1,1,3,0,1,0,0,1,5,12,0,1,0,0,1,2,0,0,0,1,1,2,0,1,0,1,2,6,1,0,1,0,1,3,0,0,0,1,1,2,0,1,0,1,2,7,13,0,0,1,1,1,3,0,0,1,1,1,3,0,1,0,0,1,7,1,1,0,1,0,3,0,0,0,1,1,2,1,1,0,0,2,7,14,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,5,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,1,4,9,1,0,1,1,1,4,0,1,0,1,1,3,1,0,0,1,2,9,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,4,13,1,1,1,1,1,5,1,0,1,1,3,0,1,0,1,1,3,11,1,1,1,1,1,5,0,0,1,1,2,0,1,0,0,1,2,9,20,0,1,1,1,0,3,1,1,1,1,4,1,1,0,0,1,3,8,0,1,1,1,0,3,1,0,0,1,2,0,1,0,0,0,1,6,14,1,1,1,1,0,4,0,1,1,1,3,1,1,1,0,0,3,10,1,1,0,1,1,4,0,0,0,1,1,0,0,0,0,1,1,6,16,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,3,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,1,4,7,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,3,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,3,6,1,1,0,1,3,1,1,1,1,1,5,1,1,1,1,1,5,13,1,1,1,1,4,1,0,0,0,0,1,0,1,1,1,0,3,8,21,0,0,0,0,0,0,0,1,1,1,3,0,1,0,1,1,3,6,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,8,1,1,1,1,4,1,1,1,1,1,5,0,1,0,0,1,2,11,0,1,1,1,3,1,1,0,1,0,3,0,1,1,0,0,2,8,19,1,1,1,1,4,1,1,1,1,1,5,0,1,1,0,1,3,12,1,1,1,1,4,0,1,1,1,1,4,0,0,1,1,1,3,11,23,0,1,0,1,2,0,1,0,0,1,2,1,1,1,0,0,3,7,0,1,0,0,1,0,0,1,1,1,3,0,0,0,0,1,1,5,12,207
